,Zip,Sqft Total,List Price,Sold/Lease$/SqFt,Sold/Lease Price,Sold/Lease Date
73,78731,"3,952","$795,000 ",$197.62 ,"$781,000 ",9/29/2017
74,78731,"2,839","$799,000 ",$275.80 ,"$783,000 ",9/11/2017
75,78731,"3,230","$795,000 ",$243.03 ,"$785,000 ",7/21/2017
76,78731,"3,525","$822,000 ",$224.68 ,"$792,000 ",7/10/2017
77,78759,"2,900","$829,900 ",$276.72 ,"$802,500 ",10/4/2017
78,78731,"2,926","$798,900 ",$275.12 ,"$805,000 ",10/26/2017
79,78731,"2,982","$829,000 ",$269.95 ,"$805,000 ",10/6/2017
80,78731,"2,718","$850,000 ",$301.23 ,"$818,750 ",6/16/2017
81,78731,"3,857","$839,000 ",$212.60 ,"$820,000 ",10/30/2017
82,78731,"2,901","$850,000 ",$284.04 ,"$824,000 ",8/25/2017
83,78731,"2,733","$825,000 ",$309.18 ,"$845,000 ",8/2/2017
84,78731,"3,383","$832,000 ",$251.26 ,"$850,000 ",5/30/2017
85,78731,"3,034","$825,000 ",$280.16 ,"$850,000 ",6/26/2017
86,78731,"3,938","$899,000 ",$218.38 ,"$860,000 ",10/13/2017
87,78731,"3,686","$849,000 ",$233.32 ,"$860,000 ",7/7/2017
88,78731,"3,124","$845,000 ",$278.17 ,"$869,000 ",6/8/2017
89,78731,"2,812","$925,000 ",$311.88 ,"$877,000 ",8/31/2017
90,78731,"3,125","$875,000 ",$285.76 ,"$893,000 ",8/18/2017
91,78731,"2,694","$875,000 ",$331.66 ,"$893,500 ",9/7/2017
92,78731,"3,954","$999,950 ",$227.62 ,"$900,000 ",6/21/2017
93,78731,"3,076","$919,000 ",$300.72 ,"$925,000 ",7/20/2017
94,78731,"3,888","$999,000 ",$255.66 ,"$994,000 ",6/16/2017
95,78731,"3,150","$998,000 ",$316.83 ,"$998,000 ",6/30/2017
96,78731,"3,534","$1,025,000 ",$292.87 ,"$1,035,000 ",6/15/2017
97,78731,"4,284","$1,195,000 ",$262.61 ,"$1,125,000 ",7/5/2017
98,78731,"3,227","$1,185,000 ",$354.82 ,"$1,145,000 ",9/18/2017
99,78731,"3,180","$1,260,000 ",$361.64 ,"$1,150,000 ",10/24/2017
100,78731,"2,633","$990,000 ",$440.14 ,"$1,158,888 ",6/9/2017
101,78731,"3,506","$1,200,000 ",$331.47 ,"$1,162,150 ",7/25/2017
102,78731,"4,074","$1,095,000 ",$291.04 ,"$1,185,700 ",6/30/2017
103,78731,"3,959","$1,200,000 ",$303.11 ,"$1,200,000 ",5/25/2017
104,78731,"3,977","$1,185,000 ",$304.25 ,"$1,210,000 ",5/31/2017
105,78731,"3,743","$1,395,000 ",$372.70 ,"$1,395,000 ",7/14/2017
106,78731,"3,633","$1,535,000 ",$388.31 ,"$1,410,728 ",7/28/2017
107,78731,"3,361","$1,375,000 ",$472.48 ,"$1,588,000 ",6/23/2017
108,78703,"1,695","$399,900 ",$227.14 ,"$385,000 ",11/6/2017
109,78731,"1,497","$405,000 ",$260.52 ,"$390,000 ",9/25/2017
110,78703,"1,016","$399,900 ",$384.84 ,"$391,000 ",10/27/2017
111,78731,"1,960","$474,900 ",$240.31 ,"$471,000 ",9/14/2017
112,78731,"2,543","$489,000 ",$185.80 ,"$472,500 ",11/8/2017
113,78703,"1,348","$499,000 ",$359.79 ,"$485,000 ",11/10/2017
114,78731,"1,866","$525,000 ",$265.27 ,"$495,000 ",11/17/2017
115,78703,"1,448","$545,000 ",$345.30 ,"$500,000 ",9/20/2017
116,78731,"2,332","$529,900 ",$231.56 ,"$540,000 ",6/23/2017
117,78731,"1,596","$549,900 ",$344.55 ,"$549,900 ",6/8/2017
118,78731,"2,691","$615,000 ",$206.99 ,"$557,000 ",6/23/2017
119,78703,"1,096","$580,000 ",$520.07 ,"$570,000 ",9/5/2017
120,78731,"2,244","$589,000 ",$259.14 ,"$581,500 ",10/27/2017
121,78731,"2,127","$579,000 ",$276.21 ,"$587,500 ",10/2/2017
122,78703,"1,574","$615,000 ",$381.19 ,"$600,000 ",6/12/2017
123,78731,"2,379","$625,000 ",$262.72 ,"$625,000 ",7/31/2017
124,78731,"2,438","$624,900 ",$261.28 ,"$637,000 ",8/31/2017
